shop_name,id,closest_mrt,distance_to_mrt
Oolong Tea Project,ChIJJ9ID_z-pQjQRT2NARHjjpVs,徐匯中學站出口2,158.66602932419173
Milksha Taipei Ruiguang,ChIJkcpqM4GsQjQRbIOnNqk-hMc,文德站出口2,1076.9118164969725
有料搖搖茶yoyocha-新北三峽店,ChIJhV6W_HcbaDQRtQdp92YdBO0,頂埔站出口2,5494.3361660598475
Ten Ren's Tea,ChIJTTSN_acCaDQR1K7bIRz_jw4,府中站出口3,177.9012712253268
儒記Rooji-雙連店,ChIJiW_p9VKpQjQRurqjNDAX25g,雙連站出口2,149.13641877760307
Poppy Charming Drinks,ChIJr2ITZoWpQjQRWLITI7rRu9E,台電大樓站出口3,56.70891436436166
50 Lan Tucheng Dingpu,ChIJrawH3-wcaDQRt1Q8miSlPqs,頂埔站出口2,490.9068880798245
漾果茶坊-新店北新總店,ChIJF7DEYpABaDQRt-KfFNiiARM,新店區公所站出口1,251.00316493923174
茶聚CHAGE內湖康寧店,ChIJzWUs6_6tQjQR0DMh5aZw020,內湖站出口1,459.1407624501406
Murphy deimi shop 莫非茶米鋪,ChIJuUSEA6SrQjQRagoLl3jcDvc,永春站出口4,112.4813614488533
萬波島嶼紅茶 淡水淡大店,ChIJVbYRCxmvQjQRNFhFCxFv8Xc,淡水站出口1,1046.4903361046274
谷得好好 紅茶專門-台北伊通店,ChIJ6y6ARPUDaDQRCfNZ6eZIOJ8,松江南京站出口6,114.69903452942121
CoCo都可 中正紀念堂店,ChIJoSg8sJWpQjQR9ALNMK1kTsc,中正紀念堂站出口3,424.91671856570855
閉著眼睛點Lucky Tea,ChIJ6furVNavQjQRR1WXZzutiS8,劍潭站出口1,190.81463283195532
Wanpo Tea Shop Taipei Hengyang,ChIJXYgv2QipQjQROtodb0lIC80,台大醫院站出口1,343.5143437050568
迷客夏Milksha 臺北大直店,ChIJa4UISQ6tQjQRzkPtOgIJWhM,大直站出口1,224.48134128827894
進發家 台北公館店,ChIJ7Q3BnACpQjQRgrcBHuxYsug,公館站出口1,106.78424526933765
回憶小時候汐止站前店,ChIJg_dZPrlTXTQRtCesgI154n4,南港展覽館站出口4,4614.981032973309
布鹿‧果漾新鮮式Blue deer(瑞光店),ChIJoRP3qWSsQjQRjcuwpV_11Sk,文德站出口2,984.5806417048022
Kebuke Technology Building,ChIJv4yKCAOrQjQRpMQnAUmOgZQ,科技大樓站出口,190.56015911421002
毛青茶室 Maochi Tea （原松江總店搬遷）,ChIJH5Wd5ImpQjQR9Z1SujIfbHk,南京三民站出口2,291.57280530182703
台味草仔奶茶,ChIJHXJU-HyvQjQRdexhH_aecCI,劍潭站出口1,150.6734676432049
Kebuke Luzhou Minzu,ChIJYd_BrQSpQjQR7w36Xe0N1m0,三民高中站出口2,531.1708948724704
沐慕茶飲,ChIJJTPKqWGrQjQRXdrFlquF_84,大安站出口6,279.55314056223136
IOU醇品茶道,ChIJJUOcT3WoQjQR4xkCVhzVY80,新莊站出口2,466.2594036800162
果霸茶 台北通化店,ChIJGWw6blurQjQRWpKmHtx0dcQ,信義安和站出口4,141.98972201922857
Tao Tao Tea,ChIJIddLTACpQjQRz6ommIYgbu8,中山站出口2,47.82381278433222
50 Lan,ChIJnynK9QipQjQRD1ewpf8_Y-8,西門站出口6,241.1423155687123
龍角 Dragon Horn 中山馬偕店《茶與咖啡的特色飲品》｜中山區飲料店｜中山區美食｜馬偕醫院美食｜自烘咖啡店 ｜飲料外送｜人氣飲品,ChIJqYUCwr2pQjQRNP0xoT66gWo,雙連站出口2,250.3389309552752
